2359.0440,2911.4640,3995.2440,4856.1120,4518.8280,4944.5640,5517.0720,6158.9160,7473.3840,5214.4560,5889.9960,6348.7800,5960.9520,6035.4720,6064.9560,6224.3640,6270.0480,6966.0000,7796.7360,8703.9360,9562.8600,8867.2320,7255.6560,4073.3280,1452.1680,765.2880,613.6560,515.4840,485.0280,459.1080,433.1880,474.9840
1835.4600,1873.3680,2744.6040,3017.7360,2905.6320,2896.2360,3159.6480,3345.3000,3910.3560,3107.1600,3610.3320,3568.5360,3387.0960,3280.8240,3377.3760,3504.0600,3790.1520,4114.1520,4181.5440,4823.0640,5380.3440,5265.9720,4749.8400,2707.3440,1303.7760,738.0720,523.9080,456.5160,410.1840,385.8840,395.6040,339.2280
254.6640,227.4480,402.7320,455.8680,417.9600,327.5640,335.0160,351.8640,389.7720,308.4480,474.6600,505.1160,385.2360,341.4960,379.7280,365.7960,416.9880,508.6800,480.8160,511.9200,617.5440,449.7120,374.2200,226.8000,132.1920,70.3080,46.6560,43.0920,38.2320,45.6840,41.1480,44.0640
9365.2200,9761.1480,12800.5920,15311.9160,14342.1840,14638.9680,15890.5800,17753.9040,19440.3240,16751.1240,17310.0240,15899.3280,15419.8080,15385.7880,16566.1200,17459.7120,18375.6600,20904.8040,20589.2280,21329.5680,24470.4240,22435.3800,20215.9800,16574.2200,8347.5360,7036.6320,6651.3960,5558.2200,4681.8000,3899.3400,3154.1400,2160.4320
34065.0360,28684.0440,50200.5600,54822.7440,58865.6160,53974.1880,49757.9760,55265.3280,59100.1920,60349.2120,57729.3480,50012.6400,52836.3000,46087.3800,45263.7720,45109.2240,44035.4880,43326.9000,39055.2840,37394.1360,38153.2680,30761.8560,26507.4120,22625.2440,16061.0040,22091.2920,25774.2000,25107.0840,23017.2840,22721.7960,20950.8120,17160.0120
7082.3160,7291.9440,9914.0760,11510.7480,10765.5480,11044.5120,11871.0360,13084.7400,13865.9040,12291.9120,13758.6600,11875.2480,10578.6000,10415.6280,10911.3480,11236.9680,12675.2040,14991.1560,13326.4440,14124.4560,17346.3120,17044.6680,17310.9960,15894.1440,7850.5200,4960.7640,4364.9280,3696.1920,3143.1240,2875.1760,2328.9120,1877.9040
12508.9920,13366.2960,20258.4240,21951.3240,20898.6480,20054.6280,19650.2760,21582.2880,22374.7920,21208.3920,21823.9920,18630.9720,18744.3720,16996.0680,16428.4200,15917.4720,16052.2560,16081.0920,14974.6320,14297.7960,15553.9440,14476.3200,14288.0760,13816.9800,9231.0840,11660.1120,14847.3000,15222.8160,14198.0040,13451.1840,12070.2960,8855.8920
55163.9160,42713.2440,68144.0040,79102.3320,85707.7200,72740.2680,67032.0360,69361.9200,72480.7440,69142.8960,75042.2880,69264.7200,72020.6640,57375.2160,55075.7880,55657.6920,53272.0800,52183.1160,45417.9960,40271.5800,40566.7440,35846.0640,33713.1720,28103.1120,19644.1200,31700.1600,52260.2280,54069.1200,57703.4280,56788.7760,52376.8680,39820.5720
67778.8560,55360.9080,88602.0120,100158.7680,105304.5360,93721.2120,85719.7080,90800.3520,95452.0200,94621.2840,102300.7320,90329.9040,94111.9560,78716.1240,77112.6480,80117.1000,74974.5720,78850.5840,73433.9520,68798.8080,70609.6440,58505.6520,48758.1120,37542.5280,24629.5080,32579.8200,47323.7640,47399.2560,49629.0240,50113.0800,46760.9760,39465.1440
41834.8800,29045.6280,55820.3400,59558.0040,51325.1640,49028.0040,49230.1800,49122.6120,52002.0000,50114.3760,57736.8000,48660.5880,43457.7960,39638.4840,38991.4560,38194.7400,36165.5280,41635.2960,33226.8480,29405.9160,30832.4880,27252.6120,24676.8120,22110.0840,14794.4880,17630.4600,24651.8640,24072.2280,25197.8040,24618.1680,22352.7600,18539.9280
10160.3160,12680.0640,16980.1920,18707.1120,16052.2560,16755.0120,17909.4240,21283.8840,26630.5320,20520.5400,22311.6120,21421.5840,21165.6240,23562.9000,25600.8600,27718.2000,31911.0840,32362.0920,34351.4520,37334.8440,43307.4600,35959.7880,31310.3880,25576.5600,11933.8920,7505.1360,5470.7400,4308.2280,3694.8960,3281.7960,2839.8600,2231.0640
41521.5720,41251.3560,60354.3960,67763.3040,65385.7920,58398.4080,51899.2920,61652.0160,66305.9520,66568.7160,66042.8640,59957.8200,64063.5480,54834.7320,54757.2960,51080.8680,50941.5480,50725.7640,49014.0720,48667.0680,53325.2160,40876.1640,33725.1600,25768.3680,22918.7880,49686.3720,38395.6200,26691.7680,22432.7880,22543.9200,17618.4720,13733.3880
8086.3920,9971.1000,13811.7960,15810.8760,13691.9160,14184.7200,15912.9360,19047.6360,23352.3000,18738.8640,19581.9120,18675.6840,20147.9400,21448.8000,24475.2840,27095.1480,30113.2080,28696.0320,31591.6200,37086.9840,44087.9760,38487.9600,33945.8040,24546.8880,9840.2040,6043.5720,4270.9680,3448.6560,2952.9360,2787.0480,2354.1840,1889.5680
13148.8920,15689.7000,22625.5680,26633.1240,21928.6440,22471.6680,23101.5240,29162.9160,36676.1520,27825.4440,29816.7480,27595.7280,30186.1080,34091.6040,38850.5160,39443.7600,44651.4120,46433.0880,51296.9760,55653.1560,63411.6600,54819.8280,51723.3600,44574.6240,21873.5640,13740.1920,7135.4520,5368.3560,4681.4760,4600.8000,4163.4000,3905.4960
9791.9280,12083.5800,16373.6640,18724.9320,16221.7080,16641.2880,17776.5840,21441.6720,26744.9040,19981.7280,21091.7520,20617.0920,21917.3040,22957.6680,25826.3640,26834.0040,29214.7560,29035.2600,31407.2640,34781.0760,38006.1720,32541.2640,30678.2640,24344.7120,12812.9040,7927.6320,5171.3640,4198.0680,3759.3720,3673.8360,3129.1920,2970.1080
29487.2400,29447.0640,44682.8400,46734.0840,50951.2680,45641.8800,45612.7200,50276.3760,53923.6440,51435.3240,51991.9560,46678.3560,48062.1600,40744.6200,40763.7360,41423.7240,44564.2560,43355.4120,41222.5200,42117.0840,48143.4840,41150.2680,35970.4800,28986.6600,19891.0080,30989.3040,33860.2680,31451.3280,28310.7960,29470.0680,22582.8000,19856.3400
8369.5680,7839.8280,12757.8240,14797.7280,13186.8000,13512.4200,14555.0520,16037.3520,18480.6360,15098.0760,18105.7680,17505.7200,15796.2960,16006.2480,18112.5720,18679.5720,20973.1680,25233.7680,23772.5280,25228.9080,31775.0040,30509.7840,30005.6400,22012.5600,11551.2480,9161.1000,6436.5840,5435.4240,4461.8040,3700.7280,2886.5160,2334.0960
5934.0600,6890.1840,9565.4520,11202.6240,10447.3800,11038.6800,11964.6720,13345.8840,15966.0720,12440.9520,14189.2560,13988.3760,13859.1000,14642.2080,16218.4680,17568.2520,19684.6200,23748.8760,24164.5680,26415.3960,31985.9280,29055.6720,26861.8680,18332.5680,10224.4680,8586.6480,6395.4360,4969.8360,4152.0600,3577.9320,3047.5440,2459.1600
